AirportCode,MarketID,GeoID,Type1,Type2,Type3,Type4,Type5,City,Country,ID,Type
ABQ,4,10,0,0,0,0,0,Albuquerque,United States,1,Beach
ACK,5,16,1,0,1,0,1,Nantucket,United States,2,Exploration
ANC,6,22,0,1,1,0,0,Anchorage,United States,3,Family
AUA,2,3,1,1,1,0,1,Aruba,Aruba,4,Nightlife
AUS,6,20,0,1,1,1,0,Austin,United States,5,Romance
AZS,2,5,1,0,1,0,1,Samana,Dominican Republic,,
BDA,2,3,1,0,1,0,1,Hamilton,Bermuda,,
BDL,5,14,0,0,1,0,0,Windsor Locks,United States,,
BGI,2,3,1,0,1,0,1,Bridgetown,Barbados,,
BOG,2,6,0,1,1,0,0,Bogota,Colombia,,
BOS,5,14,0,1,1,1,1,Boston,United States,,
BQN,2,4,1,1,1,0,0,Aguadilla,Puerto Rico,,
BTV,5,13,0,1,1,0,1,Burlington,United States,,
BUF,5,13,0,1,1,0,0,Buffalo,United States,,
BUR,1,2,0,1,1,1,0,Burbank,United States,,
BWI,3,7,0,0,1,0,0,Baltimore,United States,,
CHS,3,8,0,1,1,0,1,Charleston,United States,,
CLE,5,15,0,0,1,0,0,Cleveland,United States,,
CLT,3,8,0,0,1,0,0,Charlotte,United States,,
CTG,2,6,1,1,1,1,1,Cartagena,Colombia,,
CUN,2,3,1,1,1,1,1,Cancun,Mexico,,
CUR,2,3,1,0,1,0,1,Curacao,Netherlands,,
DCA,3,7,0,1,1,1,1,Washington DC,United States,,
DEN,4,9,0,1,1,0,0,Denver,United States,,
DFW,6,20,0,0,1,0,0,Fort Worth/Dallas,United States,,
DTW,5,15,0,0,1,0,0,Detroit,United States,,
EWR,5,12,0,1,1,1,1,Newark,United States,,
FLL,6,21,1,1,1,1,1,Fort Lauderdale,United States,,
GCM,2,3,1,0,1,0,1,Grand Cayman,Cayman Islands,,
GND,2,3,1,0,0,0,1,Grenada,Grenada,,
HOU,6,20,0,1,1,0,0,Houston,United States,,
HPN,5,12,0,0,1,0,0,Westchester County,United States,,
HYA,5,16,1,0,1,0,1,Hyannis,United States,,
IAD,3,7,0,0,1,0,0,Washington DC,United States,,
JAX,6,19,1,0,1,0,1,Jacksonville,United States,,
JFK,5,12,0,1,1,1,1,New York,United States,,
KIN,2,3,0,0,0,1,0,Kingston,Jamaica,,
LAS,4,10,0,1,1,1,1,Las Vegas,United States,,
LAX,1,2,0,1,1,1,1,Los Angeles,United States,,
LGA,5,12,0,1,1,1,1,New York,United States,,
LGB,1,2,0,1,1,1,1,Long Beach,United States,,
LIM,2,3,1,1,1,1,1,Lima,Peru,,
LIR,2,3,1,1,1,1,1,Liberia,Costa Rica,,
LRM,2,5,1,0,1,0,1,La Romana,Dominican Republic,,
MBJ,2,3,1,0,1,0,1,Montego Bay,Jamaica,,
MCO,6,18,0,1,1,1,1,Orlando,United States,,
MDE,2,6,0,1,1,1,0,Medellin,Colombia,,
MSY,6,19,0,1,1,1,1,New Orleans,United States,,
MVY,5,16,1,0,1,0,1,Martha's Vineyard,United States,,
NAS,2,3,1,0,1,0,1,Nassau,Bahamas,,
OAK,1,1,0,1,1,1,1,Oakland,United States,,
ORD,5,15,0,1,1,1,1,Chicago,United States,,
ORH,5,14,0,0,1,0,0,Worcester,United States,,
PAP,2,3,0,1,1,0,0,Port Au Prince,Haiti,,
PBI,6,17,1,0,1,0,1,West Palm Beach,United States,,
PDX,4,11,0,1,1,1,1,Portland,United States,,
PHL,5,15,0,1,1,1,0,Philadelphia,United States,,
PHX,4,10,0,1,1,0,0,Phoenix,United States,,
PIT,5,15,0,0,1,0,0,Pittsburgh,United States,,
PLS,2,3,1,0,1,0,1,Providenciales,Turks and Caicos Islands,,
POP,2,5,1,0,1,0,1,Puerto Plata,Dominican Republic,,
POS,2,3,1,0,1,0,1,Trinidad,Trinidad and Tobago,,
PSE,2,4,0,0,0,1,0,Ponce,Puerto Rico,,
PUJ,2,5,1,0,1,0,1,Punta Cana,Dominican Republic,,
PVD,5,14,0,1,1,0,1,Providence,United States,,
PWM,5,13,0,1,1,0,1,Portland,United States,,
RDU,3,8,0,0,1,0,0,Raleigh/Durham,United States,,
RIC,3,7,0,0,1,0,0,Richmond,United States,,
RNO,1,1,0,1,1,0,0,Reno,United States,,
ROC,5,13,0,0,1,0,0,Rochester,United States,,
RSW,6,19,1,0,1,0,1,Fort Myers,United States,,
SAV,3,8,0,1,1,1,1,Savannah,United States,,
SDQ,2,5,1,1,1,1,0,Santo Domingo,Dominican Republic,,
SEA,4,11,0,1,1,1,1,Seattle,United States,,
SFO,1,1,0,1,1,1,1,San Francisco,United States,,
SJC,1,1,0,1,1,1,1,San Jose,United States,,
SJO,2,3,0,1,1,1,1,San Jose,Costa Rica,,
SJU,2,4,1,1,1,1,1,San Juan,Puerto Rico,,
SLC,4,9,0,1,1,0,0,Salt Lake City,United States,,
SMF,1,1,0,1,1,0,0,Sacramento,United States,,
SRQ,6,19,1,0,1,0,1,Sarasota,United States,,
STI,2,5,1,1,1,1,0,Santiago,Dominican Republic,,
STT,2,3,1,0,1,1,1,St. Thomas Island,U.S. Virgin Islands,,
STX,2,3,1,0,1,1,1,St. Croix Island,U.S. Virgin Islands,,
SWF,5,12,0,0,1,0,0,Stewart Field/Newburgh,United States,,
SXM,2,3,1,0,1,1,1,Saint Maarten,Netherlands,,
SYR,5,13,0,0,1,0,0,Syracuse,United States,,
TPA,6,19,1,0,1,0,1,Tampa,United States,,
UVF,2,3,1,1,1,1,1,St. Lucia,St. Lucia,,
