Origin,Destination,FlightDate,DollarFare,DollarTax,DollarTotal,IsDomesticRoute,MarketID,GeographicRegionId,Type1,Type2,Type3,Type4,Type5
JFK,ABQ,11/8/2015 20:05,98.99,20.02,119.01,1,4,10,0,0,0,0,0
JFK,ABQ,11/6/2015 20:05,98.99,20.02,119.01,1,4,10,0,0,0,0,0
JFK,ABQ,1/6/2016 19:55,108.99,20.72,129.71,1,4,10,0,0,0,0,0
JFK,ABQ,1/5/2016 19:55,108.99,20.72,129.71,1,4,10,0,0,0,0,0
JFK,ABQ,12/16/2015 20:05,108.99,20.72,129.71,1,4,10,0,0,0,0,0
JFK,ABQ,12/15/2015 20:05,108.99,20.72,129.71,1,4,10,0,0,0,0,0
JFK,ABQ,12/2/2015 20:05,108.99,20.72,129.71,1,4,10,0,0,0,0,0
JFK,ABQ,11/21/2015 20:02,108.99,20.72,129.71,1,4,10,0,0,0,0,0
JFK,ABQ,2/29/2016 20:05,123.99,21.77,145.76,1,4,10,0,0,0,0,0
JFK,ABQ,2/28/2016 20:05,123.99,21.77,145.76,1,4,10,0,0,0,0,0
JFK,ABQ,2/26/2016 20:05,123.99,21.77,145.76,1,4,10,0,0,0,0,0
JFK,ABQ,2/25/2016 20:05,123.99,21.77,145.76,1,4,10,0,0,0,0,0
JFK,ABQ,2/22/2016 20:00,123.99,21.77,145.76,1,4,10,0,0,0,0,0
JFK,ABQ,2/21/2016 20:00,123.99,21.77,145.76,1,4,10,0,0,0,0,0
JFK,ABQ,2/19/2016 20:00,123.99,21.77,145.76,1,4,10,0,0,0,0,0
JFK,ABQ,2/18/2016 20:00,123.99,21.77,145.76,1,4,10,0,0,0,0,0
JFK,ABQ,2/8/2016 19:55,123.99,21.77,145.76,1,4,10,0,0,0,0,0
JFK,ABQ,2/7/2016 19:55,123.99,21.77,145.76,1,4,10,0,0,0,0,0
JFK,ABQ,2/5/2016 19:55,123.99,21.77,145.76,1,4,10,0,0,0,0,0
JFK,ABQ,2/4/2016 19:55,123.99,21.77,145.76,1,4,10,0,0,0,0,0
